"dt_notific","n.notific"
2020-03-07,1
2020-03-09,4
2020-03-12,1
2020-03-13,3
2020-03-14,1
2020-03-15,9
2020-03-16,15
2020-03-17,16
2020-03-18,60
2020-03-19,59
2020-03-20,121
2020-03-21,63
2020-03-22,60
2020-03-23,183
2020-03-24,169
2020-03-25,176
2020-03-26,195
2020-03-27,224
2020-03-28,124
2020-03-29,99
2020-03-30,376
2020-03-31,259
2020-04-01,276
2020-04-02,245
2020-04-03,170
2020-04-04,95
2020-04-05,89
2020-04-06,282
2020-04-07,180
2020-04-08,141
2020-04-09,142
2020-04-10,97
2020-04-11,96
2020-04-12,69
2020-04-13,174
2020-04-14,152
2020-04-15,122
2020-04-16,86
2020-04-17,84
2020-04-18,28
2020-04-19,22
2020-04-20,69
2020-04-21,29
2020-04-22,74
2020-04-23,3
