dt_int,observed,estimate,upper,lower
2020-01-08,1,1,1,1
2020-01-26,1,1,1,1
2020-02-03,1,1,1,1
2020-02-14,1,1,1,1
2020-02-18,1,1,1,1
2020-02-20,1,1,1,1
2020-02-21,1,1,1,1
2020-02-22,2,2,2,2
2020-02-23,1,1,1,1
2020-02-26,1,1,1,1
2020-02-27,1,1,1,1
2020-02-28,2,2,2,2
2020-03-01,1,1,1,1
2020-03-03,2,2,2,2
2020-03-06,2,2,2,2
2020-03-07,2,2,2,2
2020-03-09,1,1,1,1
2020-03-12,6,6,6,6
2020-03-14,3,3,3,3
2020-03-15,2,2,2,2
2020-03-16,7,7,7,7
2020-03-17,7,7,7,7
2020-03-18,6,6,6,6
2020-03-19,9,9,9,9
2020-03-20,10,10,10,10
2020-03-21,11,11,11,11
2020-03-22,18,18,18,18
2020-03-23,17,17,17,17
2020-03-24,23,23,23,23
2020-03-25,32,32,32,32
2020-03-26,29,29,29,29
2020-03-27,29,29,29,29
2020-03-28,27,27,27,27
2020-03-29,29,29,29,29
2020-03-30,38,38,38,38
2020-03-31,39,39,39,39
2020-04-01,36,36,36,36
2020-04-02,31,31,31,31
2020-04-03,42,42,42,42
2020-04-04,37,37,37,37
2020-04-05,31,31,31,31
2020-04-06,32,32,32,32
2020-04-07,39,39,39,39
2020-04-08,40,40,40,40
2020-04-09,38,38,38,38
2020-04-10,28,28,28,28
2020-04-11,35,35,35,35
2020-04-12,33,33,33,33
2020-04-13,42,42,42,42
2020-04-14,57,57,57,57
2020-04-15,43,43,43,43
2020-04-16,47,47,47,47
2020-04-17,36,36,36,36
2020-04-18,33,33,33,33
2020-04-19,29,29,29,29
2020-04-20,39,39,39,39
2020-04-21,51,51,51,51
2020-04-22,63,63,63,63
2020-04-23,50,50,50,50
2020-04-24,38,38,38,38
2020-04-25,49,49,49,49
2020-04-26,56,56,56,56
2020-04-27,76,76,76,76
2020-04-28,72,72,72,72
2020-04-29,58,58,58,58
2020-04-30,66,66,66,66
2020-05-01,71,71,71,71
2020-05-02,58,58,58,58
2020-05-03,45,45,45,45
2020-05-04,63,63,63,63
2020-05-05,73,73,73,73
2020-05-06,69,69,69,69
2020-05-07,51,51,51,51
2020-05-08,71,71,71,71
2020-05-09,71,71,71,71
2020-05-10,72,72,72,72
2020-05-11,71,71,71,71
2020-05-12,80,80,80,80
2020-05-13,86,86,86,86
2020-05-14,77,77,77,77
2020-05-15,71,71,71,71
2020-05-16,91,91,91,91
2020-05-17,60,60,60,60
2020-05-18,83,83,83,83
2020-05-19,72,72,72,72
2020-05-20,75,75,75,75
2020-05-21,99,99,99,99
2020-05-22,88,88,88,88
2020-05-23,70,70,70,70
2020-05-24,66,66,66,66
2020-05-25,70,70,70,70
2020-05-26,103,103,103,103
2020-05-27,74,74,74,74
2020-05-28,84,84,84,84
2020-05-29,74,74,74,74
2020-05-30,87,87,87,87
2020-05-31,64,64,64,64
2020-06-01,64,64,64,64
2020-06-02,95,95,95,95
2020-06-03,66,66,66,66
2020-06-04,79,79,79,79
2020-06-05,63,63,63,63
2020-06-06,67,67,67,67
2020-06-07,67,67,67,67
2020-06-08,87,87,87,87
2020-06-09,90,90,90,90
2020-06-10,73,73,73,73
2020-06-11,104,104,104,104
2020-06-12,83,83,83,83
2020-06-13,75,75,75,75
2020-06-14,60,60,60,60
2020-06-15,78,78,78,78
2020-06-16,62,62,62,62
2020-06-17,59,59,59,59
2020-06-18,82,82,82,82
2020-06-19,78,78,78,78
2020-06-20,70,70,70,70
2020-06-21,53,53,53,53
2020-06-22,82,82,82,82
2020-06-23,67,67,67,67
2020-06-24,54,54,54,54
2020-06-25,44,44,44,44
2020-06-26,71,71,71,71
2020-06-27,39,39,39,39
2020-06-28,39,39,39,39
2020-06-29,49,49,49,49
2020-06-30,53,53,53,53
2020-07-01,50,50,50,50
2020-07-02,60,60,60,60
2020-07-03,56,56,56,56
2020-07-04,38,38,38,38
2020-07-05,55,55,55,55
2020-07-06,50,50,50,50
2020-07-07,49,49,49,49
2020-07-08,69,69,69,69
2020-07-09,42,42,42,42
2020-07-10,60,60,60,60
2020-07-11,43,43,43,43
2020-07-12,51,51,51,51
2020-07-13,74,74,74,74
2020-07-14,52,52,52,52
2020-07-15,57,57,57,57
2020-07-16,58,58,58,58
2020-07-17,55,55,55,55
2020-07-18,38,38,38,38
2020-07-19,37,37,37,37
2020-07-20,54,54,54,54
2020-07-21,50,50,50,50
2020-07-22,40,40,40,40
2020-07-23,50,50,50,50
2020-07-24,39,39,39,39
2020-07-25,39,39,39,39
2020-07-26,32,32,32,32
2020-07-27,35,35,35,35
2020-07-28,50,50,50,50
2020-07-29,33,33,33,33
2020-07-30,43,43,43,43
2020-07-31,41,41,41,41
2020-08-01,35,35,35,35
2020-08-02,55,55,55,55
2020-08-03,27,27,27,27
2020-08-04,30,30,30,30
2020-08-05,37,37,37,37
2020-08-06,31,31,31,31
2020-08-07,35,35,35,35
2020-08-08,23,23,23,23
2020-08-09,29,29,29,29
2020-08-10,32,32,32,32
2020-08-11,34,34,34,34
2020-08-12,32,32,32,32
2020-08-13,55,55,55,55
2020-08-14,35,35,35,35
2020-08-15,32,32,32,32
2020-08-16,30,30,30,30
2020-08-17,37,37,37,37
2020-08-18,37,37,37,37
2020-08-19,51,51,51,51
2020-08-20,31,31,31,31
2020-08-21,28,28,28,28
2020-08-22,20,20,20,20
2020-08-23,18,18,18,18
2020-08-24,37,37,37,37
2020-08-25,28,28,28,28
2020-08-26,32,32,32,32
2020-08-27,29,29,29,29
2020-08-28,42,42,42,42
2020-08-29,33,33,33,33
2020-08-30,34,34,34,34
2020-08-31,35,35,35,35
2020-09-01,14,14,14,14
2020-09-02,43,43,43,43
2020-09-03,48,48,48,48
2020-09-04,34,34,34,34
2020-09-05,26,26,26,26
2020-09-06,29,29,29,29
2020-09-07,33,33,33,33
2020-09-08,33,33,33,33
2020-09-09,32,32,32,32
2020-09-10,25,25,25,25
2020-09-11,33,33,33,33
2020-09-12,18,18,19,18
2020-09-13,18,18,21,18
2020-09-14,28,28,30,28
2020-09-15,24,24,29,24
2020-09-16,24,24,28,24
2020-09-17,35,35,37,35
2020-09-18,28,28,37,28
2020-09-19,21,21,25,21
2020-09-20,18,18,32,18
2020-09-21,20,20,33,20
2020-09-22,16,16,23,16
2020-09-23,37,37,48,37
2020-09-24,25,25,39,25
2020-09-25,22,22,38,22
2020-09-26,22,22,34,22
2020-09-27,16,16,34,16
2020-09-28,19,22,38,19
2020-09-29,24,25,35,24
2020-09-30,15,15,33,15
2020-10-01,38,41,53,38
2020-10-02,23,25,46,23
2020-10-03,29,33,55,29
2020-10-04,17,21,34,17
2020-10-05,27,33,59,27
2020-10-06,27,31,43,27
2020-10-07,18,21,46,18
2020-10-08,11,17,39,11
2020-10-09,12,13,51,12
2020-10-10,9,17,32,9
2020-10-11,9,18,41,9
2020-10-12,5,14,43,5
2020-10-13,12,23,49,12
2020-10-14,16,26,50,16
2020-10-15,12,20,48,12
2020-10-16,7,19,48,7
2020-10-17,2,14,47,2
2020-10-18,1,21,48,1
2020-10-19,2,20,49,2
2020-10-20,7,22,55,7
2020-10-21,3,8,28,3
2020-10-22,1,18,31,1
2020-10-23,NA,6,39,NA
