"dt_encerra","n.notific"
2020-02-10,1
2020-02-12,2
2020-02-18,2
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-25,1
2020-03-05,1
2020-03-12,2
2020-03-13,2
2020-03-16,2
2020-03-17,4
2020-03-18,5
2020-03-19,4
2020-03-20,10
2020-03-21,5
2020-03-22,8
2020-03-23,14
2020-03-24,20
2020-03-25,10
2020-03-26,26
2020-03-27,26
2020-03-28,18
2020-03-29,27
2020-03-30,37
2020-03-31,58
2020-04-01,46
2020-04-02,42
2020-04-03,57
2020-04-04,24
2020-04-05,27
2020-04-06,103
2020-04-07,80
2020-04-08,82
2020-04-09,58
2020-04-10,29
2020-04-11,56
2020-04-12,28
2020-04-13,107
2020-04-14,75
2020-04-15,85
2020-04-16,101
2020-04-17,121
2020-04-18,24
2020-04-19,45
2020-04-20,72
2020-04-21,33
2020-04-22,237
2020-04-23,168
2020-04-24,158
2020-04-25,40
2020-04-26,71
2020-04-27,236
2020-04-28,176
2020-04-29,238
2020-04-30,173
2020-05-01,66
2020-05-02,37
2020-05-03,28
2020-05-04,200
2020-05-05,5
