"dt_evoluca","n.casos"
2020-03-12,1
2020-03-15,1
2020-03-16,3
2020-03-17,2
2020-03-18,4
2020-03-19,7
2020-03-20,9
2020-03-21,8
2020-03-22,12
2020-03-23,19
2020-03-24,21
2020-03-25,16
2020-03-26,18
2020-03-27,27
2020-03-28,36
2020-03-29,33
2020-03-30,38
2020-03-31,45
2020-04-01,49
2020-04-02,46
2020-04-03,43
2020-04-04,61
2020-04-05,57
2020-04-06,59
2020-04-07,63
2020-04-08,56
2020-04-09,37
2020-04-10,64
2020-04-11,51
2020-04-12,50
2020-04-13,64
2020-04-14,46
2020-04-15,57
2020-04-16,46
2020-04-17,61
2020-04-18,52
2020-04-19,41
2020-04-20,54
2020-04-21,43
2020-04-22,62
2020-04-23,74
2020-04-24,47
2020-04-25,42
2020-04-26,58
2020-04-27,47
2020-04-28,51
2020-04-29,46
2020-04-30,32
2020-05-01,35
2020-05-02,24
2020-05-03,24
2020-05-04,7
2020-05-05,1
