"dt_encerra","n.notific"
2020-02-10,1
2020-02-12,2
2020-02-18,2
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-25,1
2020-03-05,1
2020-03-12,2
2020-03-13,2
2020-03-16,2
2020-03-17,4
2020-03-18,5
2020-03-19,4
2020-03-20,10
2020-03-21,5
2020-03-22,8
2020-03-23,14
2020-03-24,20
2020-03-25,10
2020-03-26,26
2020-03-27,25
2020-03-28,17
2020-03-29,27
2020-03-30,37
2020-03-31,58
2020-04-01,46
2020-04-02,42
2020-04-03,57
2020-04-04,24
2020-04-05,27
2020-04-06,102
2020-04-07,80
2020-04-08,82
2020-04-09,58
2020-04-10,29
2020-04-11,56
2020-04-12,28
2020-04-13,107
2020-04-14,74
2020-04-15,84
2020-04-16,99
2020-04-17,118
2020-04-18,24
2020-04-19,46
2020-04-20,71
2020-04-21,32
2020-04-22,238
2020-04-23,166
2020-04-24,159
2020-04-25,40
2020-04-26,69
2020-04-27,233
2020-04-28,174
2020-04-29,235
2020-04-30,175
2020-05-01,65
2020-05-02,33
2020-05-03,31
2020-05-04,209
2020-05-05,217
2020-05-06,15
