Abrangência;Nome;Casos suspeitos;% Casos suspeitos;Casos confirmados;% Casos confirmados;Casos Descartados;% Casos descartados;Óbitos;% Óbitos;Transmissão local
Unidade da Federação;Rondônia (RO);2;0,22;0;0,00;1;0,15;0;0,00;Não
Unidade da Federação;Acre (AC);3;0,32;0;0,00;0;0,00;0;0,00;Não
Unidade da Federação;Amazonas (AM);3;0,32;0;0,00;4;0,58;0;0,00;Não
Unidade da Federação;Pará (PA);5;0,54;0;0,00;10;1,46;0;0,00;Não
Região;Norte;13;1,40;0;0,00;15;2,19;0;0,00;-
Unidade da Federação;Maranhão (MA);0;0,00;0;0,00;2;0,29;0;0,00;Não
Unidade da Federação;Piauí (PI);1;0,11;0;0,00;2;0,29;0;0,00;Não
Unidade da Federação;Ceará (CE);16;1,72;0;0,00;35;5,11;0;0,00;Não
Unidade da Federação;Rio Grande do Norte (RN);11;1,18;0;0,00;12;1,75;0;0,00;Não
Unidade da Federação;Paraíba (PB);2;0,22;0;0,00;5;0,73;0;0,00;Não
Unidade da Federação;Pernambuco (PE);12;1,29;0;0,00;18;2,63;0;0,00;Não
Unidade da Federação;Alagoas (AL);6;0,65;1;4,00;1;0,15;0;0,00;Não
Unidade da Federação;Sergipe (SE);2;0,22;0;0,00;3;0,44;0;0,00;Não
Unidade da Federação;Bahia (BA);46;4,95;2;8,00;35;5,11;0;0,00;Sim
Região;Nordeste;96;10,32;3;12,00;113;16,50;0;0,00;-
Unidade da Federação;Minas Gerais (MG);122;13,12;1;4,00;18;2,63;0;0,00;Não
Unidade da Federação;Espírito Santo (ES);1;0,11;1;4,00;12;1,75;0;0,00;Não
Unidade da Federação;Rio de Janeiro (RJ);122;13,12;3;12,00;82;11,97;0;0,00;Não
Unidade da Federação;São Paulo (SP)*;322;34,62;16;64,00;271;39,56;0;0,00;Sim
Região;Sudeste;567;60,97;21;84,00;383;55,91;0;0,00;-
Unidade da Federação;Paraná (PR);34;3,66;0;0,00;20;2,92;0;0,00;Não
Unidade da Federação;Santa Catarina (SC);42;4,52;0;0,00;28;4,09;0;0,00;Não
Unidade da Federação;Rio Grande do Sul (RS);112;12,04;0;0,00;75;10,95;0;0,00;Não
Região;Sul;188;20,22;0;0,00;123;17,96;0;0,00;-
Unidade da Federação;Mato Grosso do Sul (MS);6;0,65;0;0,00;11;1,61;0;0,00;Não
Unidade da Federação;Mato Grosso (MT);5;0,54;0;0,00;2;0,29;0;0,00;Não
Unidade da Federação;Goiás (GO);14;1,51;0;0,00;14;2,04;0;0,00;Não
Unidade da Federação;Distrito Federal (DF);41;4,41;1;4,00;24;3,50;0;0,00;Não
Região;Centro-Oeste;66;7,10;1;4,00;51;7,45;0;0,00;-
País;Brasil;930;100,00;25;100,00;685;100,00;0;0,00;-

Observações
*1 Portador assintomático

Fonte
Ministério da Saúde
Dados atualizados em 09/03/2020 às 16:10
