Unidade da Federação;Suspeitos;Confirmados;Descartados;Óbitos;Transmissão local
RO - Rondônia;1;0;0;0;Não
AM - Amazonas;5;0;1;0;Não
PA - Pará;1;0;5;0;Não
MA - Maranhão;0;0;2;0;Não
PI - Piauí;1;0;2;0;Não
CE - Ceará;16;0;18;0;Não
RN - Rio Grande do Norte;4;0;8;0;Não
PB - Paraíba;4;0;1;0;Não
PE - Pernambuco;8;0;12;0;Não
AL - Alagoas;6;0;1;0;Não
SE - Sergipe;2;0;0;0;Não
BA - Bahia;23;0;29;0;Não
MG - Minas Gerais;80;0;12;0;Não
ES - Espírito Santo;5;0;8;0;Não
RJ - Rio de Janeiro;79;1;58;0;Não
SP - São Paulo*;182;6;159;0;Não
PR - Paraná;20;0;9;0;Não
SC - Santa Catarina;54;0;4;0;Não
RS - Rio Grande do Sul;104;0;25;0;Não
MS - Mato Grosso do Sul;11;0;3;0;Não
MT - Mato Grosso;6;0;0;0;Não
GO - Goiás;4;0;12;0;Não
DF - Distrito Federal;20;0;9;0;Não
TOTAL;636;7;378;0;-

Observações
*1 Portador assintomático

Fonte
Ministério da Saúde
Dados atualizados em 05/03/2020 às 16:00
