Abrangência;Nome;Casos suspeitos;% Casos suspeitos;Casos provaveis;% Casos provaveis;Casos confirmados;% Casos confirmados;Casos descartados;% Casos descartados;Óbitos;% Óbitos;Total;Transmissão local
Unidade da Federação;Rondônia (RO);2;66,67;0;0,00;0;0,00;1;33,33;0;0,00;3;Não
Unidade da Federação;Acre (AC);3;100,00;0;0,00;0;0,00;0;0,00;0;0,00;3;Não
Unidade da Federação;Amazonas (AM);1;12,50;0;0,00;0;0,00;7;87,50;0;0,00;8;Não
Unidade da Federação;Pará (PA);5;27,78;0;0,00;0;0,00;13;72,22;0;0,00;18;Não
Região;Norte;11;34,38;0;0,00;0;0,00;21;65,63;0;0,00;32;-
Unidade da Federação;Maranhão (MA);6;75,00;0;0,00;0;0,00;2;25,00;0;0,00;8;Não
Unidade da Federação;Piauí (PI);1;33,33;0;0,00;0;0,00;2;66,67;0;0,00;3;Não
Unidade da Federação;Ceará (CE);22;34,38;0;0,00;0;0,00;42;65,63;0;0,00;64;Não
Unidade da Federação;Rio Grande do Norte (RN);13;48,15;0;0,00;0;0,00;14;51,85;0;0,00;27;Não
Unidade da Federação;Paraíba (PB);7;53,85;0;0,00;0;0,00;6;46,15;0;0,00;13;Não
Unidade da Federação;Pernambuco (PE);17;43,59;0;0,00;0;0,00;22;56,41;0;0,00;39;Não
Unidade da Federação;Alagoas (AL);4;33,33;0;0,00;1;8,33;7;58,33;0;0,00;12;Não
Unidade da Federação;Sergipe (SE);2;40,00;0;0,00;0;0,00;3;60,00;0;0,00;5;Não
Unidade da Federação;Bahia (BA);65;63,11;0;0,00;2;1,94;36;34,95;0;0,00;103;Sim
Região;Nordeste;137;50,00;0;0,00;3;1,09;134;48,91;0;0,00;274;-
Unidade da Federação;Minas Gerais (MG);117;83,57;0;0,00;1;0,71;22;15,71;0;0,00;140;Não
Unidade da Federação;Espírito Santo (ES);31;68,89;0;0,00;1;2,22;13;28,89;0;0,00;45;Não
Unidade da Federação;Rio de Janeiro (RJ);87;37,34;0;0,00;13;5,58;133;57,08;0;0,00;233;Não
Unidade da Federação;São Paulo (SP)*;263;42,90;0;0,00;30;4,89;320;52,20;0;0,00;613;Sim
Região;Sudeste;498;48,30;0;0,00;45;4,36;488;47,33;0;0,00;1.031;-
Unidade da Federação;Paraná (PR);49;64,47;0;0,00;0;0,00;27;35,53;0;0,00;76;Não
Unidade da Federação;Santa Catarina (SC);47;59,49;0;0,00;0;0,00;32;40,51;0;0,00;79;Não
Unidade da Federação;Rio Grande do Sul (RS);67;29,39;0;0,00;2;0,88;159;69,74;0;0,00;228;Não
Região;Sul;163;42,56;0;0,00;2;0,52;218;56,92;0;0,00;383;-
Unidade da Federação;Mato Grosso do Sul (MS);6;35,29;0;0,00;0;0,00;11;64,71;0;0,00;17;Não
Unidade da Federação;Mato Grosso (MT);1;12,50;0;0,00;0;0,00;7;87,50;0;0,00;8;Não
Unidade da Federação;Goiás (GO);17;37,78;0;0,00;0;0,00;28;62,22;0;0,00;45;Não
Unidade da Federação;Distrito Federal (DF);74;71,15;0;0,00;2;1,92;28;26,92;0;0,00;104;Não
Região;Centro-Oeste;98;56,32;0;0,00;2;1,15;74;42,53;0;0,00;174;-
País;Brasil;907;47,89;0;0,00;52;2,75;935;49,37;0;0,00;1.894;-

Observações
*1 Portador assintomático

Fonte
Ministério da Saúde
Dados atualizados em 11/03/2020 às 16:45
