Unidade da Federação;Suspeitos;Confirmados;Descartados;Óbitos;Transmissão local
RO - Rondônia;1;0;0;0;Não
AM - Amazonas;2;0;4;0;Não
PA - Pará;4;0;5;0;Não
MA - Maranhão;0;0;2;0;Não
PI - Piauí;1;0;2;0;Não
CE - Ceará;12;0;24;0;Não
RN - Rio Grande do Norte;7;0;8;0;Não
PB - Paraíba;3;0;3;0;Não
PE - Pernambuco;6;0;14;0;Não
AL - Alagoas;7;0;1;0;Não
SE - Sergipe;3;0;1;0;Não
BA - Bahia;15;1;32;0;Não
MG - Minas Gerais;123;0;17;0;Não
ES - Espírito Santo;1;1;12;0;Não
RJ - Rio de Janeiro;111;1;67;0;Não
SP - São Paulo*;222;10;189;0;Não
PR - Paraná;25;0;13;0;Não
SC - Santa Catarina;59;0;10;0;Não
RS - Rio Grande do Sul;112;0;41;0;Não
MS - Mato Grosso do Sul;8;0;9;0;Não
MT - Mato Grosso;6;0;1;0;Não
GO - Goiás;4;0;12;0;Não
DF - Distrito Federal;36;0;13;0;Não
TOTAL;768;13;480;0;-

Observações
*1 Portador assintomático

Fonte
Ministério da Saúde
Dados atualizados em 06/03/2020 às 16:00
