Unidade da Federação;Suspeitos;Confirmados;Descartados;Óbitos;Transmissão local
RO - Rondônia;1;0;0;0;Não
AM - Amazonas;2;0;4;0;Não
PA - Pará;3;0;6;0;Não
MA - Maranhão;0;0;2;0;Não
PI - Piauí;1;0;2;0;Não
CE - Ceará;11;0;26;0;Não
RN - Rio Grande do Norte;9;0;13;0;Não
PB - Paraíba;3;0;3;0;Não
PE - Pernambuco;9;0;18;0;Não
AL - Alagoas;6;1;1;0;Não
SE - Sergipe;1;0;1;0;Não
BA - Bahia;15;2;32;0;Sim
MG - Minas Gerais;122;1;17;0;Não
ES - Espírito Santo;1;1;12;0;Não
RJ - Rio de Janeiro;110;3;67;0;Não
SP - São Paulo*;176;16;258;0;Sim
PR - Paraná;22;0;20;0;Não
SC - Santa Catarina;44;0;26;0;Não
RS - Rio Grande do Sul;88;0;75;0;Não
MS - Mato Grosso do Sul;6;0;11;0;Não
MT - Mato Grosso;5;0;2;0;Não
GO - Goiás;4;0;12;0;Não
DF - Distrito Federal;24;1;24;0;Não
TOTAL;663;25;632;0;-

Observações
*1 Portador assintomático

Fonte
Ministério da Saúde
Dados atualizados em 08/03/2020 às 17:30
