Abrangência;Nome;Casos suspeitos;% Casos suspeitos;Casos confirmados;% Casos confirmados;Casos Descartados;% Casos descartados;Óbitos;% Óbitos;Transmissão local
Unidade da Federação;Rondônia (RO);2;0,22;0;0,00;1;0,13;0;0,00;Não
Unidade da Federação;Acre (AC);3;0,34;0;0,00;0;0,00;0;0,00;Não
Unidade da Federação;Amazonas (AM);3;0,34;0;0,00;4;0,51;0;0,00;Não
Unidade da Federação;Pará (PA);5;0,56;0;0,00;12;1,54;0;0,00;Não
Região;Norte;13;1,46;0;0,00;17;2,18;0;0,00;-
Unidade da Federação;Maranhão (MA);2;0,22;0;0,00;2;0,26;0;0,00;Não
Unidade da Federação;Piauí (PI);1;0,11;0;0,00;2;0,26;0;0,00;Não
Unidade da Federação;Ceará (CE);22;2,46;0;0,00;42;5,38;0;0,00;Não
Unidade da Federação;Rio Grande do Norte (RN);15;1,68;0;0,00;13;1,67;0;0,00;Não
Unidade da Federação;Paraíba (PB);5;0,56;0;0,00;6;0,77;0;0,00;Não
Unidade da Federação;Pernambuco (PE);12;1,34;0;0,00;22;2,82;0;0,00;Não
Unidade da Federação;Alagoas (AL);6;0,67;1;2,94;1;0,13;0;0,00;Não
Unidade da Federação;Sergipe (SE);2;0,22;0;0,00;3;0,38;0;0,00;Não
Unidade da Federação;Bahia (BA);46;5,15;2;5,88;35;4,49;0;0,00;Sim
Região;Nordeste;111;12,43;3;8,82;126;16,15;0;0,00;-
Unidade da Federação;Minas Gerais (MG);122;13,66;1;2,94;18;2,31;0;0,00;Não
Unidade da Federação;Espírito Santo (ES);1;0,11;1;2,94;12;1,54;0;0,00;Não
Unidade da Federação;Rio de Janeiro (RJ);119;13,33;8;23,53;85;10,90;0;0,00;Não
Unidade da Federação;São Paulo (SP)*;302;33,82;19;55,88;289;37,05;0;0,00;Sim
Região;Sudeste;544;60,92;29;85,29;404;51,79;0;0,00;-
Unidade da Federação;Paraná (PR);33;3,70;0;0,00;20;2,56;0;0,00;Não
Unidade da Federação;Santa Catarina (SC);42;4,70;0;0,00;28;3,59;0;0,00;Não
Unidade da Federação;Rio Grande do Sul (RS);70;7,84;1;2,94;129;16,54;0;0,00;Não
Região;Sul;145;16,24;1;2,94;177;22,69;0;0,00;-
Unidade da Federação;Mato Grosso do Sul (MS);6;0,67;0;0,00;11;1,41;0;0,00;Não
Unidade da Federação;Mato Grosso (MT);1;0,11;0;0,00;7;0,90;0;0,00;Não
Unidade da Federação;Goiás (GO);14;1,57;0;0,00;14;1,79;0;0,00;Não
Unidade da Federação;Distrito Federal (DF);59;6,61;1;2,94;24;3,08;0;0,00;Não
Região;Centro-Oeste;80;8,96;1;2,94;56;7,18;0;0,00;-
País;Brasil;893;100,00;34;100,00;780;100,00;0;0,00;-

Observações
*1 Portador assintomático

Fonte
Ministério da Saúde
Dados atualizados em 10/03/2020 às 16:05
