Unidade da Federação;Suspeitos;Confirmados;Descartados;Óbitos;Transmissão local
CE - Ceará;6;0;2;0;Não
RN - Rio Grande do Norte;3;0;2;0;Não
PB - Paraíba;1;0;1;0;Não
PE - Pernambuco;5;0;2;0;Não
AL - Alagoas;1;0;0;0;Não
BA - Bahia;9;0;4;0;Não
MG - Minas Gerais;17;0;3;0;Não
ES - Espírito Santo;2;0;1;0;Não
RJ - Rio de Janeiro;19;0;8;0;Não
SP - São Paulo;66;1;30;0;Não
PR - Paraná;5;0;3;0;Não
SC - Santa Catarina;9;0;4;0;Não
RS - Rio Grande do Sul;27;0;10;0;Não
MS - Mato Grosso do Sul;2;0;0;0;Não
GO - Goiás;5;0;0;0;Não
DF - Distrito Federal;5;0;1;0;Não
TOTAL;182;1;71;0;-

Fonte
Ministério da Saúde
Dados atualizados em 28/02/2020 às 16:10
