Abrangência;Nome;Casos suspeitos;% Casos suspeitos;Casos confirmados;% Casos confirmados;Casos descartados;% Casos descartados;Óbitos;% Óbitos;Total;Transmissão local
Unidade da Federação;Rondônia (RO);2;66,67;0;0,00;1;33,33;0;0,00;3;Não
Unidade da Federação;Acre (AC);3;100,00;0;0,00;0;0,00;0;0,00;3;Não
Unidade da Federação;Amazonas (AM);1;12,50;0;0,00;7;87,50;0;0,00;8;Não
Unidade da Federação;Pará (PA);5;27,78;0;0,00;13;72,22;0;0,00;18;Não
Região;Norte;11;34,38;0;0,00;21;65,63;0;0,00;32;-
Unidade da Federação;Maranhão (MA);6;75,00;0;0,00;2;25,00;0;0,00;8;Não
Unidade da Federação;Piauí (PI);1;33,33;0;0,00;2;66,67;0;0,00;3;Não
Unidade da Federação;Ceará (CE);22;34,38;0;0,00;42;65,63;0;0,00;64;Não
Unidade da Federação;Rio Grande do Norte (RN);13;46,43;0;0,00;15;53,57;0;0,00;28;Não
Unidade da Federação;Paraíba (PB);10;62,50;0;0,00;6;37,50;0;0,00;16;Não
Unidade da Federação;Pernambuco (PE);18;41,86;2;4,65;23;53,49;0;0,00;43;Não
Unidade da Federação;Alagoas (AL);6;42,86;1;7,14;7;50,00;0;0,00;14;Não
Unidade da Federação;Sergipe (SE);2;40,00;0;0,00;3;60,00;0;0,00;5;Não
Unidade da Federação;Bahia (BA);65;63,11;2;1,94;36;34,95;0;0,00;103;Sim
Região;Nordeste;143;50,35;5;1,76;136;47,89;0;0,00;284;-
Unidade da Federação;Minas Gerais (MG);117;83,57;1;0,71;22;15,71;0;0,00;140;Não
Unidade da Federação;Espírito Santo (ES);51;69,86;1;1,37;21;28,77;0;0,00;73;Não
Unidade da Federação;Rio de Janeiro (RJ);76;31,93;16;6,72;146;61,34;0;0,00;238;Não
Unidade da Federação;São Paulo (SP)*;704;57,85;42;3,45;471;38,70;0;0,00;1.217;Sim
Região;Sudeste;948;56,83;60;3,60;660;39,57;0;0,00;1.668;-
Unidade da Federação;Paraná (PR);54;60,67;6;6,74;29;32,58;0;0,00;89;Não
Unidade da Federação;Santa Catarina (SC);73;68,22;0;0,00;34;31,78;0;0,00;107;Não
Unidade da Federação;Rio Grande do Sul (RS);81;30,22;4;1,49;183;68,28;0;0,00;268;Não
Região;Sul;208;44,83;10;2,16;246;53,02;0;0,00;464;-
Unidade da Federação;Mato Grosso do Sul (MS);9;37,50;0;0,00;15;62,50;0;0,00;24;Não
Unidade da Federação;Mato Grosso (MT);6;46,15;0;0,00;7;53,85;0;0,00;13;Não
Unidade da Federação;Goiás (GO);15;30,61;0;0,00;34;69,39;0;0,00;49;Não
Unidade da Federação;Distrito Federal (DF);82;64,06;2;1,56;44;34,38;0;0,00;128;Não
Região;Centro-Oeste;112;52,34;2;0,93;100;46,73;0;0,00;214;-
País;Brasil;1.422;53,42;77;2,89;1.163;43,69;0;0,00;2.662;-

Observações
*1 Portador assintomático

Fonte
Ministério da Saúde
Dados atualizados em 12/03/2020 às 16:20
