Unidade da Federação;Suspeitos;Confirmados;Descartados;Óbitos;Transmissão local
CE - Ceará;0;0;1;0;Não
BA - Bahia;0;0;2;0;Não
PB - Paraíba;1;0;0;0;Não
PE - Pernambuco;1;0;0;0;Não
MG - Minas Gerais;2;0;2;0;Não
ES - Espírito Santo;1;0;0;0;Não
RJ - Rio de Janeiro;2;0;8;0;Não
SP - São Paulo;11;1;28;0;Não
PR - Paraná;0;0;3;0;Não
SC - Santa Catarina;2;0;4;0;Não
RS - Rio Grande do Sul;0;0;10;0;Não
DF - Distrito Federal;0;0;1;0;Não
TOTAL;20;1;59;0;-

Fonte
Ministério da Saúde
Dados atualizados em 26/02/2020 às 11:30
