Abrangência;Nome;Casos suspeitos;% Casos suspeitos;Casos confirmados;% Casos confirmados;Casos descartados;% Casos descartados;Óbitos;% Óbitos;Total;Transmissão local
Unidade da Federação;Rondônia (RO);2;66,67;0;0,00;1;33,33;0;0,00;3;Não
Unidade da Federação;Acre (AC);3;100,00;0;0,00;0;0,00;0;0,00;3;Não
Unidade da Federação;Amazonas (AM);1;12,50;0;0,00;7;87,50;0;0,00;8;Não
Unidade da Federação;Pará (PA);1;4,76;0;0,00;20;95,24;0;0,00;21;Não
Unidade da Federação;Tocantins (TO);2;100,00;0;0,00;0;0,00;0;0,00;2;Não
Região;Norte;9;24,32;0;0,00;28;75,68;0;0,00;37;-
Unidade da Federação;Maranhão (MA);6;75,00;0;0,00;2;25,00;0;0,00;8;Não
Unidade da Federação;Piauí (PI);1;33,33;0;0,00;2;66,67;0;0,00;3;Não
Unidade da Federação;Ceará (CE);22;27,16;0;0,00;59;72,84;0;0,00;81;Não
Unidade da Federação;Rio Grande do Norte (RN);12;42,86;1;3,57;15;53,57;0;0,00;28;Não
Unidade da Federação;Paraíba (PB);16;72,73;0;0,00;6;27,27;0;0,00;22;Não
Unidade da Federação;Pernambuco (PE);18;41,86;2;4,65;23;53,49;0;0,00;43;Não
Unidade da Federação;Alagoas (AL);6;42,86;1;7,14;7;50,00;0;0,00;14;Não
Unidade da Federação;Sergipe (SE);2;40,00;0;0,00;3;60,00;0;0,00;5;Não
Unidade da Federação;Bahia (BA);65;63,11;2;1,94;36;34,95;0;0,00;103;Sim
Região;Nordeste;148;48,21;6;1,95;153;49,84;0;0,00;307;-
Unidade da Federação;Minas Gerais (MG);116;60,73;2;1,05;73;38,22;0;0,00;191;Não
Unidade da Federação;Espírito Santo (ES);51;69,86;1;1,37;21;28,77;0;0,00;73;Não
Unidade da Federação;Rio de Janeiro (RJ)*;76;31,80;16;6,69;147;61,51;0;0,00;239;Sim
Unidade da Federação;São Paulo (SP)**;753;56,28;56;4,19;529;39,54;0;0,00;1.338;Sim
Região;Sudeste;996;54,10;75;4,07;770;41,83;0;0,00;1.841;-
Unidade da Federação;Paraná (PR);72;64,29;6;5,36;34;30,36;0;0,00;112;Não
Unidade da Federação;Santa Catarina (SC);77;68,14;2;1,77;34;30,09;0;0,00;113;Não
Unidade da Federação;Rio Grande do Sul (RS);81;28,13;4;1,39;203;70,49;0;0,00;288;Não
Região;Sul;230;44,83;12;2,34;271;52,83;0;0,00;513;-
Unidade da Federação;Mato Grosso do Sul (MS);15;48,39;0;0,00;16;51,61;0;0,00;31;Não
Unidade da Federação;Mato Grosso (MT);6;46,15;0;0,00;7;53,85;0;0,00;13;Não
Unidade da Federação;Goiás (GO);6;10,91;3;5,45;46;83,64;0;0,00;55;Não
Unidade da Federação;Distrito Federal (DF);75;57,69;2;1,54;53;40,77;0;0,00;130;Não
Região;Centro-Oeste;102;44,54;5;2,18;122;53,28;0;0,00;229;-
País;Brasil;1.485;50,73;98;3,35;1.344;45,92;0;0,00;2.927;-

Observações
*Transmissão comunitária no município do Rio de Janeiro
**Transmissão comunitária no município de São Paulo.

Fonte
Ministério da Saúde
Dados atualizados em 13/03/2020 às 15:45
