Abrangência;Nome;Casos suspeitos;% Casos suspeitos;Casos confirmados;% Casos confirmados;Casos descartados;% Casos descartados;Óbitos;% Óbitos;Total;Transmissão local
Unidade da Federação;undefined (undefined);61;NaN;-;NaN;2;NaN;-;NaN;NaN;Não
Unidade da Federação;undefined (undefined);12;NaN;-;NaN;-;NaN;-;NaN;NaN;Não
Unidade da Federação;undefined (undefined);18;NaN;1;NaN;26;NaN;-;NaN;NaN;Não
Unidade da Federação;undefined (undefined);9;NaN;-;NaN;-;NaN;-;NaN;NaN;Não
Unidade da Federação;undefined (undefined);43;NaN;-;NaN;23;NaN;-;NaN;NaN;Não
Unidade da Federação;undefined (undefined);15;NaN;-;NaN;-;NaN;-;NaN;NaN;Não
Unidade da Federação;undefined (undefined);13;NaN;-;NaN;-;NaN;-;NaN;NaN;Não
Região;Norte;171;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-
Unidade da Federação;undefined (undefined);125;NaN;-;NaN;13;NaN;-;NaN;NaN;Não
Unidade da Federação;undefined (undefined);12;NaN;-;NaN;2;NaN;-;NaN;NaN;Não
Unidade da Federação;undefined (undefined);493;NaN;9;NaN;89;NaN;-;NaN;NaN;Não
Unidade da Federação;undefined (undefined);108;NaN;1;NaN;22;NaN;-;NaN;NaN;Não
Unidade da Federação;undefined (undefined);85;NaN;-;NaN;11;NaN;-;NaN;NaN;Não
Unidade da Federação;undefined (undefined);89;NaN;16;NaN;23;NaN;-;NaN;NaN;Não
Unidade da Federação;undefined (undefined);43;NaN;1;NaN;22;NaN;-;NaN;NaN;Não
Unidade da Federação;undefined (undefined);15;NaN;5;NaN;11;NaN;-;NaN;NaN;Não
Unidade da Federação;undefined (undefined);573;NaN;3;NaN;36;NaN;-;NaN;NaN;Sim
Região;Nordeste;1.543;NaN;NaN;NaN;229;NaN;NaN;NaN;NaN;-
Unidade da Federação;undefined (undefined);925;NaN;15;NaN;104;NaN;-;NaN;NaN;Não
Unidade da Federação;undefined (undefined);71;NaN;9;NaN;21;NaN;-;NaN;NaN;Não
Unidade da Federação;undefined (undefined)*;1.254;NaN;45;NaN;148;NaN;-;NaN;NaN;Sim
Unidade da Federação;undefined (undefined)**;5.334;86,39;240;3,89;596;9,65;4;0,06;6.174;Sim
Região;Sudeste;7.584;NaN;309;NaN;869;NaN;NaN;NaN;NaN;-
Unidade da Federação;undefined (undefined);400;NaN;13;NaN;119;NaN;-;NaN;NaN;Não
Unidade da Federação;undefined (undefined);346;NaN;10;NaN;47;NaN;-;NaN;NaN;Não
Unidade da Federação;undefined (undefined);416;NaN;19;NaN;330;NaN;-;NaN;NaN;Não
Região;Sul;1.162;NaN;42;NaN;496;NaN;NaN;NaN;NaN;-
Unidade da Federação;undefined (undefined);93;NaN;7;NaN;26;NaN;-;NaN;NaN;Não
Unidade da Federação;undefined (undefined);45;NaN;-;NaN;8;NaN;-;NaN;NaN;Não
Unidade da Federação;undefined (undefined);353;NaN;8;NaN;55;NaN;-;NaN;NaN;Não
Unidade da Federação;undefined (undefined);327;NaN;26;NaN;107;NaN;-;NaN;NaN;Não
Região;Centro-Oeste;818;NaN;NaN;NaN;196;NaN;NaN;NaN;NaN;-
País;Brasil;-;NaN;-;NaN;-;NaN;-;NaN;NaN;-

Observações
*Transmissão comunitária no município do Rio de Janeiro
**Transmissão comunitária no município de São Paulo.

Fonte
Ministério da Saúde
Dados atualizados em 18/03/2020 às 20:00
