dt_int,observed,estimate,upper,lower
2019-12-29,1,1,1,1
2020-01-05,3,3,3,3
2020-01-06,2,2,2,2
2020-01-07,4,4,4,4
2020-01-08,3,3,3,3
2020-01-11,1,1,1,1
2020-01-12,1,1,1,1
2020-01-14,1,1,1,1
2020-01-16,2,2,2,2
2020-01-18,3,3,3,3
2020-01-20,2,2,2,2
2020-01-23,2,2,2,2
2020-01-24,1,1,1,1
2020-01-26,1,1,1,1
2020-01-28,1,1,1,1
2020-01-29,2,2,2,2
2020-02-01,2,2,2,2
2020-02-03,1,1,1,1
2020-02-04,2,2,2,2
2020-02-05,1,1,1,1
2020-02-06,3,3,3,3
2020-02-07,4,4,4,4
2020-02-08,1,1,1,1
2020-02-09,2,2,2,2
2020-02-11,2,2,2,2
2020-02-12,1,1,1,1
2020-02-13,1,1,1,1
2020-02-14,2,2,2,2
2020-02-16,2,2,2,2
2020-02-18,1,1,1,1
2020-02-19,3,3,3,3
2020-02-20,1,1,1,1
2020-02-21,1,1,1,1
2020-02-22,1,1,1,1
2020-02-23,2,2,2,2
2020-02-25,1,1,1,1
2020-02-26,1,1,1,1
2020-02-27,4,4,4,4
2020-02-28,1,1,1,1
2020-03-01,3,3,3,3
2020-03-02,1,1,1,1
2020-03-03,4,4,4,4
2020-03-04,2,2,2,2
2020-03-05,3,3,3,3
2020-03-07,2,2,2,2
2020-03-08,5,5,5,5
2020-03-09,5,5,5,5
2020-03-10,3,3,3,3
2020-03-11,2,2,2,2
2020-03-12,11,11,11,11
2020-03-13,8,8,8,8
2020-03-14,9,9,9,9
2020-03-15,5,5,5,5
2020-03-16,18,18,18,18
2020-03-17,11,11,11,11
2020-03-18,20,20,20,20
2020-03-19,22,22,22,22
2020-03-20,16,16,16,16
2020-03-21,23,23,23,23
2020-03-22,12,12,12,12
2020-03-23,27,27,27,27
2020-03-24,22,22,22,22
2020-03-25,24,24,24,24
2020-03-26,37,37,37,37
2020-03-27,35,35,35,35
2020-03-28,29,29,29,29
2020-03-29,31,31,31,31
